,NGA,PolID,General.variables,Institutional.Variables,Religion.and.Normative.Ideology,Social.Complexity.variables,Social.Mobility,Warfare.variables,terr,logterr,data_range,Date.From,Date.To,year,settHier,adminLevels,militaryLevels,religiousLevels,pop,logpop,x,y
342,Upper Egypt,EgThebH,0,1,12,27,1,26,15000,9.61580548,1720-1567 BCE,-1720,-1567,-1643.5,4.5,5.5,6,3.5,NA,NA,32.7940623,24.8122469
343,Upper Egypt,EgThebL,0,2,15,30,1,25,210000,12.25486281,1069-747 BCE,-1070,-761,-915.5,4,6,5,4,NA,NA,32.7940623,24.8122469
344,Upper Egypt,EgTulIk,0,0,16,36,1,35,9.00E+05,13.71015004,868-969 CE,868,969,918.5,6,5,6,2,6500000,15.68731273,32.7940623,24.8122469
345,Upper Egypt,SdKusht,0,1,13,30,1,26,650000,13.38472764,747-656 BCE,-760,-656,-708,4.5,5,5,6,2750000,14.82711147,32.7940623,24.8122469
346,Upper Egypt,TnFatim,0,3,17,41,1,33,1015500,13.83089166,909-1171 CE,970,1170,1070,6,5.5,8,5.5,8750000,15.98456426,32.7940623,24.8122469
347,Valley of Oaxaca,MxAlb1E,0,0,3,6,1,7,1300,7.170119543,500 BCE-300 BCE,-500,-301,-400.5,2.5,NA,1,1,15000,9.61580548,-96.6744028,17.0536287
348,Valley of Oaxaca,MxAlb1L,0,0,3,11,1,7,5000,8.517193191,300 BCE-100 BCE,-300,-101,-200.5,4,NA,1.5,1,55000,10.91508846,-96.6744028,17.0536287
349,Valley of Oaxaca,MxAlb2*,0,0,3,12,1,7,20000,9.903487553,100 BCE-200 CE,-100,199,49.5,4,NA,2,NA,45000,10.71441777,-96.6744028,17.0536287
350,Valley of Oaxaca,MxAlb3A,0,0,0,10,1,9,11500,9.350102314,200 CE-500 CE,200,499,349.5,4,3,1.5,NA,NA,NA,-96.6744028,17.0536287
351,Valley of Oaxaca,MxAlb3B,0,0,0,13,1,9,NA,NA,500 CE-900 CE,500,899,699.5,2.5,NA,1.5,NA,8452.5,9.042217535,-96.6744028,17.0536287
352,Valley of Oaxaca,MxAlb5*,0,0,0,16,2,22,NA,NA,900-1520 CE,1101,1520,1310.5,2.5,2.5,2,3,9481.5,9.157097811,-96.6744028,17.0536287
353,Valley of Oaxaca,MxRosar,0,0,1,5,1,5,275,5.616771098,700-500 BCE,-700,-501,-600.5,3,1.5,1,1,1500,7.313220387,-96.6744028,17.0536287
354,Valley of Oaxaca,MxSanGu,0,0,0,0,0,3,NA,NA,1150 BCE-700 BCE,-1150,-701,-925.5,2,1.5,1,1,NA,NA,-96.6744028,17.0536287
355,Valley of Oaxaca,MxTieLa,0,0,0,0,0,3,NA,NA,1400 BCE-1150 BCE,-1400,-1151,-1275.5,1,1,1,1,NA,NA,-96.6744028,17.0536287
356,Yemeni Coastal Plain,YeLBA**,0,0,0,0,0,9,NA,NA,1200-801 BCE,-1200,-801,-1000.5,2,NA,NA,NA,NA,NA,43.0069945,14.7918286
357,Yemeni Coastal Plain,YeNeoL*,0,0,0,0,0,7,NA,NA,3500-1201 BCE,-3500,-1201,-2350.5,1.5,NA,NA,NA,NA,NA,43.0069945,14.7918286
358,Yemeni Coastal Plain,YeQasmi,0,0,16,21,1,9,NA,NA,1637-1805 CE,1637,1805,1721,3,3,4,3,NA,NA,43.0069945,14.7918286
359,Yemeni Coastal Plain,YeQatab,0,0,4,8,0,8,NA,NA,450-111 BCE,-450,-111,-280.5,3.5,NA,NA,NA,NA,NA,43.0069945,14.7918286
360,Yemeni Coastal Plain,YeSabaC,0,0,4,5,0,7,NA,NA,800-451 BCE,-800,-451,-625.5,3.5,NA,NA,NA,NA,NA,43.0069945,14.7918286
361,Yemeni Coastal Plain,YeSaRay,0,0,4,6,0,3,NA,NA,110 BCE-149 CE,-110,149,19.5,3,NA,NA,NA,NA,NA,43.0069945,14.7918286
362,Yemeni Coastal Plain,YeTahir,0,0,16,33,1,27,NA,NA,1454-1517 CE,1454,1517,1485.5,4,5,NA,3.5,NA,NA,43.0069945,14.7918286
