order,society_name_dplace,society_xd_id,language_glottocode,language_name,language_family,group,technology,Subsistence,Ec Org,Politics,ceremony,Spirits,total,Lat,Long,long,lat,altitude,precip,veg,jan temp,july temp,pop density,Fixity of settlement,size of com 7cat,size of community population,Overall Richness,Sea mammal Richness,Fish Richness,Land mammal Richness,acquatic to land ratio...32,acquatic to land ratio...33,form of marriage,incidence of polygamy,postnuptial household residence,forms of descent,forms of kinship,relationships within dem kinship units,relationships within stip kinship units,activities of stip kinship,Agricultrual production,ag recoded,Language,phyla,family...46,branch,id,family...49,Areakm,material_culture,div_of_labor,econ_dist,property,marriage,family,descent,war,lifecycle,shamans,illness,magic
34,Taltushtuntede,xd1423,gali1261,Galice,Athabaskan-Eyak-Tlingit,Galice Creek,6,20,40,3,5,3,147,42.5,123.5,5,3,1,5,2,5,1,3,4,1,1,22,0,8,11,0.727272727,0.727272727,1,2,1,1,4,3,1,1,5,5,5,4,29,15,34,29,4257.95,17,23,13,7,7,2,9,9,19,5,2,6
35,Tolowa,xd1103,tolo1259,Tolowa-Chetco,Athabaskan-Eyak-Tlingit,Tolowa,7,16,43,2,4,2,155,41.7,124.2,5,3,1,5,2,5,1,3,4,2,2,52,25,14,10,3.9,3.9,1,3,5,2,4,3,1,1,5,5,5,4,29,15,35,29,2797.19,22,24,13,8,7,2,8,9,20,3,1,6
36,Yurok,xd1101,yuro1248,Yurok,Algic,Yurok,8,19,49,2,5,3,165,41.5,124,5,3,1,5,2,5,1,3,7,1,1,50,25,13,9,4.222222222,4.222222222,1,2,5,1,1,1,1,1,5,5,4,4,28,8,36,28,3759.04,22,24,14,8,7,0,3,8,19,5,2,6
37,Karuk,xd1095,karo1304,Karok,NA,Karok,8,19,44,3,5,2,156,41.4,123.5,5,3,1,5,2,5,2,3,7,1,1,20,0,7,10,0.7,0.7,1,1,5,1,1,1,1,1,5,5,3,3,35,15,37,23,4493.51,19,24,13,8,7,0,3,6,20,3,1,6
38,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,Hupa,8,20,47,4,6,3,164,41,123.5,5,3,1,5,2,5,2,3,7,1,1,20,0,7,10,0.7,0.7,1,3,5,1,1,1,1,1,5,5,5,4,29,15,38,29,2187.31,19,24,14,9,8,0,3,8,19,5,2,6
39,Wiyot,xd1097,wiyo1248,Wiyot,Algic,Wiyot,8,19,46,3,5,3,161,40.8,124,5,3,1,5,2,5,1,4,7,1,1,45,25,12,8,4.625,4.625,1,3,5,1,1,1,1,1,5,5,4,4,28,8,39,28,4642.64,22,23,14,9,8,0,3,8,19,5,2,6
40,Sinkyone,xd1100,wail1244,Wailaki,Athabaskan-Eyak-Tlingit,Sinkyone,8,15,35,6,5,3,157,40.2,123.8,5,3,1,5,2,5,2,4,4,1,1,13,0,5,8,0.625,0.625,1,2,1,1,1,1,1,1,5,5,5,4,29,15,40,29,5481.66,23,22,10,7,6,0,3,8,18,5,2,6
41,Mattole-Bear River,xd1099,matt1238,Mattole,Athabaskan-Eyak-Tlingit,Mattole,8,17,31,10,5,4,145,40.4,124.1,5,3,1,5,2,5,1,4,4,1,1,48,25,12,8,4.625,4.625,1,1,5,1,1,1,1,1,1,1,5,4,29,15,41,29,2321.32,23,22,8,7,5,0,1,2,18,5,2,4
42,NA,NA,NA,NA,NA,Nongatl,8,16,38,5,4,2,146,40.4,123.6,5,3,2,5,2,5,2,4,4,1,1,16,0,5,8,0.625,0.625,1,1,5,1,1,1,1,1,5,5,5,4,29,15,42,29,1847.03,21,22,11,9,6,0,3,5,20,5,2,6
43,Cahto,xd1425,kato1244,Kato,Athabaskan-Eyak-Tlingit,Kato,7,17,37,10,6,5,157,39.7,123.3,5,3,2,5,2,5,2,4,4,1,1,15,0,4,8,0.5,0.5,1,2,1,1,1,1,1,1,1,1,5,4,29,15,43,29,3015.83,20,22,10,7,5,0,3,9,19,5,2,4
44,Shasta (East),xd1093,shas1239,Shasta,Shastan,East Shasta,8,19,44,5,4,4,162,41.5,122.3,5,3,3,5,1,4,2,3,4,2,2,20,0,6,11,0.545454545,0.545454545,1,2,5,1,1,1,1,1,5,5,3,3,20,15,44,20,2737.75,23,23,12,11,8,0,2,7,19,3,1,6
45,Shasta (West),xd1093,shas1239,Shasta,Shastan,West Shasta,8,19,44,5,4,3,159,41.8,122.8,5,3,3,5,1,4,2,3,9,2,2,20,0,6,11,0.545454545,0.545454545,1,2,5,1,1,1,1,1,5,5,3,3,20,15,45,20,6526.97,21,23,12,11,8,0,2,7,19,3,1,6
46,Chimariko,xd1094,chim1301,Chimariko,NA,Chimariko,8,19,32,4,5,4,128,40.7,123.2,5,3,3,5,1,4,2,2,4,1,1,18,0,6,10,0.6,0.6,1,2,1,2,1,1,1,1,5,5,3,3,22,15,46,22,1372.75,19,22,11,6,4,0,3,8,16,3,1,6
47,Wintu (Trinity River),xd1112,nucl1651,Nuclear Wintu,Wintuan,Trinty River Wintu,8,20,41,5,5,5,166,40.6,123.2,5,3,3,5,1,4,2,4,4,1,1,17,0,4,10,0.4,0.4,1,2,1,1,1,1,1,1,5,5,2,2,3,6,47,3,2745.5,24,22,11,8,5,0,3,9,19,5,2,6
48,Wintu (McCloud River),xd1112,nucl1651,Nuclear Wintu,Wintuan,McCloud River Wintu,7,19,44,5,6,4,161,40.8,122.4,5,3,3,5,1,4,2,4,4,1,1,18,0,5,10,0.5,0.5,1,2,5,1,1,1,1,1,1,1,2,2,3,6,48,3,1670.06,18,22,13,9,6,0,3,8,20,5,2,4
49,Wintu (Sacramento River),xd1112,nucl1651,Nuclear Wintu,Wintuan,Sacromento River Wintu,8,20,42,5,6,5,163,41.2,122.4,5,3,3,5,1,4,2,4,4,1,1,19,0,6,10,0.6,0.6,1,2,5,1,1,1,1,1,5,5,2,2,3,6,49,3,1142.02,20,22,12,9,6,0,3,8,19,5,2,6
50,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,Nomlaki,8,17,43,10,6,3,154,39.5,122.5,5,3,2,4,1,5,3,3,4,3,3,18,0,5,10,0.5,0.5,1,2,3,2,4,3,1,1,1,1,2,2,3,6,50,3,4546.23,20,19,12,12,5,2,9,8,21,5,2,4
51,Achumawi (East),xd1108,achu1247,Achumawi,Palaihnihan,East Achomawi,9,19,37,5,5,3,166,41.4,120.5,5,3,4,3,1,4,2,3,4,1,1,18,0,3,12,0.25,0.25,1,2,5,1,1,1,1,1,5,5,3,3,19,15,51,19,8484.89,27,22,9,9,7,0,3,9,20,5,2,6
52,Achumawi (West),xd1108,achu1247,Achumawi,Palaihnihan,West Achomawi,9,21,39,4,7,4,170,41.2,121.4,5,3,3,3,1,4,2,3,4,1,1,19,0,5,11,0.454545455,0.454545455,1,2,5,1,1,1,1,1,5,5,3,3,19,15,52,19,5956.47,25,22,11,10,8,0,3,9,20,5,2,6
53,Atsugewi,xd1135,atsu1245,Atsugewi,Palaihnihan,Atsugewi,9,20,46,4,7,4,177,40.5,121.3,5,3,4,3,1,4,2,3,4,2,2,17,0,3,11,0.272727273,0.272727273,1,3,5,1,1,1,1,1,5,5,3,3,19,15,53,19,4036.41,26,23,12,11,8,0,3,7,19,5,2,6
54,Valley Maidu,xd1432,vall1252,Valley Maidu,Maiduan,Valley Maidu,9,19,41,11,8,3,166,39.7,121.9,5,3,1,2,8,5,4,4,4,1,1,19,0,6,10,0.6,0.6,1,2,5,1,1,1,1,1,1,1,2,2,3,5,54,3,4340.37,23,21,13,11,6,0,0,9,20,3,4,3
55,Foothill Maidu,xd1433,nort2951,Northwest Maidu,Maiduan,Foothill Maidu,9,20,46,10,6,4,183,39.8,121.3,5,3,2,3,6,4,2,3,4,2,2,18,0,5,10,0.5,0.5,1,3,5,1,1,1,1,1,5,5,2,2,3,5,55,3,2205.38,22,21,13,11,6,0,2,8,22,5,5,6
56,Maidu,xd1110,nort2952,Northeast Maidu,Maiduan,Mountain Maidu,10,20,40,5,6,3,163,40.2,121,5,3,3,4,1,4,2,3,4,3,3,18,0,5,10,0.5,0.5,1,3,5,1,1,1,1,1,5,5,2,2,3,5,56,3,4283.28,20,21,10,11,6,0,3,9,20,5,2,6
57,Nisenan (Foothill),xd1111,nise1244,Nisenan,Maiduan,Foothill Nisenan,10,17,43,6,7,5,167,39.4,121.1,5,2,2,3,6,4,3,3,4,2,2,17,0,5,9,0.555555556,0.555555556,1,3,3,1,1,1,1,1,5,5,2,2,3,5,57,3,2090.18,21,20,12,12,6,0,3,9,19,5,2,6
58,Nisenan (Mountain),xd1111,nise1244,Nisenan,Maiduan,Mountian Nisenan,9,19,40,6,7,4,165,39.3,120.9,5,2,3,4,6,4,3,3,4,2,2,18,0,5,10,0.5,0.5,1,2,3,1,1,1,1,1,4,2,2,2,3,5,58,3,843.02,21,19,12,12,7,0,3,9,20,5,2,6
59,Nisenan (Southern),xd1111,nise1244,Nisenan,Maiduan,Southern Nisenan,9,19,46,4,8,4,164,38.8,121,5,2,2,4,6,4,3,3,4,2,2,17,0,5,9,0.555555556,0.555555556,1,2,3,1,1,1,1,1,5,5,2,2,3,5,59,3,2064.46,20,22,12,12,8,0,1,7,19,5,2,6
60,Coast Yuki,xd1113,yuki1243,Yuki,Yuki-Wappo,Coast Yuki,8,15,29,9,5,4,130,39.4,123.6,5,2,1,5,2,5,1,3,2,1,1,46,25,10,8,4.375,4.375,1,1,1,1,1,1,1,1,1,1,2,2,4,15,60,4,NA,17,17,6,5,5,0,2,6,15,3,1,4
61,Yuki,xd1138,yuki1243,Yuki,Yuki-Wappo,Yuki,8,14,38,11,7,3,162,39.8,123.2,5,2,2,4,2,5,2,4,4,3,3,17,0,6,8,0.75,0.75,1,1,5,1,1,1,1,1,1,1,2,2,4,15,61,4,3874.87,20,18,11,9,7,0,0,6,20,5,2,4
62,Yana,xd1109,yana1271,Yana,NA,Yana,8,15,29,5,5,3,138,40.5,122,5,3,2,4,1,5,3,4,4,2,2,19,0,7,9,0.777777778,0.777777778,1,2,5,1,1,1,1,1,5,5,3,3,21,15,62,21,5873.76,22,20,6,7,5,0,3,10,20,3,1,6
63,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,Northern Pomo,8,16,40,12,7,6,171,39.6,123.3,5,2,2,4,2,5,2,4,2,2,2,48,25,12,8,4.625,4.625,1,2,1,1,1,1,1,1,1,1,3,3,18,15,63,18,2261.88,23,21,9,9,4,1,4,9,19,3,4,4
64,Eastern Pomo,xd1116,east2545,Eastern Pomo,Pomoan,Eastern pomo,8,14,40,11,6,6,164,39,123,5,2,2,3,2,5,2,4,7,4,4,13,0,2,8,0.25,0.25,1,1,1,1,1,1,1,1,1,1,3,3,18,15,64,18,1135.05,23,21,9,8,3,1,4,6,19,3,4,4
65,Southern Pomo,xd1117,sout2984,Southern Pomo,Pomoan,Southern Pomo,8,14,38,13,7,6,149,38.5,123,5,2,1,4,2,5,2,4,2,3,3,16,0,5,8,0.625,0.625,1,1,1,1,1,1,1,1,1,1,3,3,18,15,65,18,6345.5,21,20,10,8,3,1,4,7,19,3,4,4
66,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,Wappo,8,16,42,11,6,5,156,38.7,123,5,2,1,4,2,5,2,4,2,3,3,16,0,5,8,0.625,0.625,1,1,1,1,1,1,1,1,1,1,2,2,4,15,66,4,1381.07,17,22,12,12,5,1,4,6,16,5,4,4
67,Patwin,xd1121,patw1250,Patwin,Wintuan,Patwin,9,18,43,10,6,5,152,38.7,122,5,2,1,2,8,5,3,4,2,3,3,19,0,6,10,0.6,0.6,1,2,3,2,4,2,1,1,1,1,2,2,3,6,67,3,4224.84,17,23,11,10,6,3,7,10,18,3,4,4
68,Northern Miwok,xd1420,nort2968,Northern Sierra Miwok,Miwok-Costanoan,Northern Miwok,7,20,39,4,4,5,160,38.5,121,5,2,2,3,6,4,3,4,2,2,2,18,0,5,10,0.5,0.5,1,3,5,2,4,2,1,1,5,5,2,2,3,4,68,3,5161.18,27,22,12,6,5,3,11,10,21,3,4,6
69,Central Sierra Miwok,xd1136,cent2140,Central Sierra Miwok,Miwok-Costanoan,Central Miwok,9,18,38,5,5,4,157,38,120,5,2,2,3,6,4,3,3,2,2,2,17,0,4,10,0.4,0.4,1,3,5,2,4,2,1,1,5,5,2,2,3,4,69,3,2948.79,23,19,12,6,5,3,11,10,21,3,4,6
70,Southern Miwok,xd1421,sout2985,Southern Sierra Miwok,Miwok-Costanoan,Southern Miwok,9,16,38,5,4,5,148,37.5,119.5,4,2,2,3,6,4,3,3,2,2,2,15,0,2,10,0.2,0.2,1,3,5,2,4,2,1,1,5,5,2,2,3,4,70,3,2481.85,24,19,12,6,5,2,11,10,21,3,4,6
71,North Fork Mono,xd993,mono1275,Mono (USA),Uto-Aztecan,San Joaquin Mono,10,18,35,2,4,5,147,37.5,119,4,2,3,3,6,4,3,3,2,1,1,18,0,5,10,0.5,0.5,1,2,6,1,1,1,1,1,1,1,1,1,1,1,71,1,1392.11,26,22,9,5,4,1,5,8,21,5,5,4
72,Kings River Western Mono,xd1122,mono1275,Mono (USA),Uto-Aztecan,Kings River Mono,10,18,49,6,6,4,183,36.7,119,4,2,3,3,6,4,3,3,4,2,2,12,0,2,10,0.2,0.2,1,2,5,2,4,2,1,1,5,5,1,1,1,1,72,1,2692.49,28,25,12,12,4,2,10,7,21,5,5,6
73,Northern Foothills Yokuts,xd1129,nort2937,Northern Hill/Valley Yokuts,Yokutsan,Chuckchansi Yokuts,10,18,40,4,5,2,147,37.2,119.8,4,2,2,2,6,5,3,4,2,1,1,18,0,5,10,0.5,0.5,1,2,5,2,4,2,1,1,1,1,2,2,3,7,73,3,1883.39,28,24,11,8,4,3,8,7,20,5,5,4
74,Kings River Yokuts,xd1436,sout2955,Southern Valley Yokuts,Yokutsan,Kings River Yokuts,10,20,37,6,6,6,165,36.8,119.4,4,2,2,2,6,5,3,4,4,3,3,15,0,2,10,0.2,0.2,1,2,5,2,4,2,1,1,5,5,2,2,3,7,74,3,1922.92,27,24,11,8,4,3,10,6,19,5,5,6
75,Wukchumni,xd1124,tule1245,Tule-Kaweah Yokuts,Yokutsan,Kaweah Yokuts,10,20,41,5,6,6,159,36.4,119.1,4,2,2,2,6,5,3,4,2,3,3,14,0,2,9,0.222222222,0.222222222,1,2,5,2,4,2,1,1,3,2,2,2,3,7,75,3,2052.21,24,24,11,8,3,3,11,5,18,5,5,6
76,Southern Valley Yokuts (Lake),xd1123,vall1251,Valley Yokuts,Yokutsan,Lake Yokuts,10,17,33,5,6,6,152,36.2,120,4,2,1,1,8,5,4,3,2,4,4,14,0,1,10,0.1,0.1,1,2,5,2,4,1,2,2,3,2,2,2,3,7,76,3,16686.82,17,21,9,8,4,3,10,5,20,3,4,6
77,Southern Valley Yokuts (Yauelmani),xd1123,vall1251,Valley Yokuts,Yokutsan,Yauelmani Yokuts,10,17,33,5,6,4,154,35.3,118.8,4,2,1,1,8,5,4,3,2,3,3,11,0,0,9,0,0,1,2,5,2,4,2,1,1,3,2,2,2,3,7,77,3,3533.89,21,23,9,9,3,2,10,6,20,3,4,6
78,TÃ¼balulabal,xd1118,tuba1278,TÃ¼batulabal,Uto-Aztecan,Tubatulabal,7,21,35,4,7,3,149,36,118.2,4,2,3,3,6,4,3,3,2,1,1,13,0,1,10,0.1,0.1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,78,1,3078.3,19,24,4,7,6,0,2,4,14,5,5,6
79,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,Kawaiisu,6,16,30,3,5,2,125,35.5,118.5,4,2,3,1,6,5,4,2,2,6,9,11,0,0,9,0,0,1,1,3,1,1,1,1,1,5,5,1,1,1,1,79,1,5300.83,19,21,4,6,5,0,2,5,14,5,5,6
80,Salinan,xd1125,sali1253,Salinan,NA,Salinan,9,16,41,7,6,6,133,35,120,5,2,2,3,6,5,2,4,4,2,2,40,26,5,6,5.166666667,5.166666667,1,2,5,2,4,3,1,1,1,1,3,3,16,15,80,16,11521.03,14,21,10,11,3,3,10,5,19,3,4,4
81,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,Gabrielino,8,18,30,6,6,6,132,34.8,118,4,1,1,2,6,6,2,4,4,3,3,42,27,6,6,5.5,5.5,1,2,3,2,4,3,1,1,1,1,1,1,1,1,81,1,11124.83,14,21,9,9,4,4,10,7,22,3,4,4
82,LuiseÃ±o,xd1133,luis1253,Luiseno,Uto-Aztecan,Luiseno,8,17,38,5,7,3,148,33.3,117.3,4,1,2,3,6,5,2,3,2,3,3,36,26,2,6,4.666666667,4.666666667,1,2,5,2,4,2,2,2,1,1,1,1,1,1,82,1,7707.51,18,21,9,6,4,3,13,6,20,5,5,4
83,CupeÃ±o,xd1132,cupe1243,CupeÃ±o,Uto-Aztecan,Cupeno,8,13,31,4,7,3,137,33.2,116.7,2,1,3,3,6,5,2,4,2,4,4,9,0,1,6,0.166666667,0.166666667,1,2,5,2,4,2,2,3,1,1,1,1,1,1,83,1,4723.39,19,17,9,6,5,4,14,6,21,5,5,4
84,Serrano,xd1130,serr1255,Serrano,Uto-Aztecan,Serrano,4,13,31,8,7,2,135,34.2,117,2,1,3,2,5,5,3,2,2,1,1,12,0,0,9,0,0,1,2,5,2,4,2,2,3,1,1,1,1,1,1,84,1,33066.83,15,17,10,6,4,4,14,6,22,5,5,4
85,Cahuilla (Desert),xd1131,cahu1264,Cahuilla,Uto-Aztecan,Desert Cahuilla,7,14,37,4,6,3,145,33.5,116.2,4,1,1,1,5,6,5,3,2,2,2,9,0,0,7,0,0,1,2,5,2,4,2,2,3,1,1,1,1,1,1,85,1,1180.85,17,17,10,7,6,4,13,7,19,5,5,4
86,Cahuilla (Pass),xd1439,cahu1264,Cahuilla,Uto-Aztecan,Pass Cahuilla,7,13,36,4,6,3,142,33.8,116.7,4,1,3,2,6,5,3,3,2,1,1,11,0,1,7,0.142857143,0.142857143,1,1,5,2,4,2,2,3,1,1,1,1,1,1,86,1,4723.39,18,17,10,7,4,4,14,4,20,5,5,4
87,Cahuilla (Mountain),xd1440,cahu1264,Cahuilla,Uto-Aztecan,Mountain Cahuilla,7,13,33,4,7,5,144,33.3,116.5,4,1,4,3,1,5,2,3,2,1,1,8,0,1,7,0.142857143,0.142857143,1,2,5,2,4,2,2,3,1,1,1,1,1,1,87,1,8452.89,18,17,9,7,4,4,16,7,19,5,5,4
88,Kumeyaay (Mountain Diegueno),xd1437,kumi1248,Tipai,Cochimi-Yuman,Mountain Diegueno,8,13,34,4,8,5,151,33,117,4,1,4,3,6,5,3,3,2,1,1,12,0,1,8,0.125,0.125,1,2,5,2,4,3,2,3,5,5,3,3,17,15,88,17,2763.57,17,17,9,6,5,3,15,7,22,5,5,6
89,Kumeyaay (Western Diegueno),xd1137,kumi1248,Tipai,Cochimi-Yuman,Western Diegueno,8,18,34,4,7,5,154,32.7,117.1,4,1,1,2,8,6,2,3,2,1,1,37,24,4,6,4.666666667,4.666666667,1,2,5,2,4,2,2,3,5,5,3,3,17,15,89,17,13413.32,15,24,9,6,6,3,15,8,22,5,5,6
90,Kumeyaay (Desert Diegueno),xd1137,kumi1248,Tipai,Cochimi-Yuman,Desert Diegueno,8,15,38,4,7,4,153,32.7,116,4,1,1,1,5,6,4,3,2,3,3,10,0,0,8,0,0,1,2,5,2,4,2,2,3,5,5,3,3,17,99,90,17,20646.71,17,19,11,7,7,3,16,7,21,5,5,6
91,Kiliwa,xd1134,kili1268,Kiliwa,Cochimi-Yuman,Kaliwa,5,16,34,3,7,4,124,31.5,115,4,1,1,1,5,6,5,2,2,2,2,11,1,0,8,0.125,0.125,1,2,5,2,4,2,2,3,1,1,3,3,17,99,91,17,4835.05,13,20,10,7,4,3,15,7,21,5,5,4
92,Akwaâ€™ala,xd1426,paip1241,Paipai,Cochimi-Yuman,Akwa'ala,5,15,32,2,7,4,124,31.5,115.8,4,1,1,1,5,6,5,3,2,6,9,10,0,0,8,0,0,1,1,5,2,4,2,2,3,1,1,3,3,17,99,92,17,6043.81,15,19,9,6,3,3,16,5,17,3,4,4
93,Dakelh (Alkatcho Carrier),xd1035,carr1249,Carrier,Athabaskan-Eyak-Tlingit,Alkatcho Carrier,5,16,44,6,7,1,137,55,127,6,6,3,2,1,2,1,3,4,3,3,25,0,10,13,0.769230769,0.769230769,1,3,5,1,2,3,1,1,1,1,5,4,29,15,93,29,31464.02,15,23,14,9,8,2,6,9,19,3,2,4
94,Dakelh (Lower Carrier),xd1035,carr1249,Carrier,Athabaskan-Eyak-Tlingit,Lower Carrier,7,18,47,5,5,2,155,53,122.7,5,5,3,2,1,2,1,3,4,3,3,25,0,9,14,0.642857143,0.642857143,1,3,6,1,1,1,1,1,1,1,5,4,29,15,94,29,5243.99,17,25,14,11,4,0,3,9,21,5,2,4
95,Chilcotin,xd1206,chil1280,Chilcotin,Athabaskan-Eyak-Tlingit,Chilcotin,6,18,45,5,5,2,149,51.7,125,5,5,3,2,10,2,1,3,2,2,2,23,0,8,13,0.615384615,0.615384615,1,3,5,1,1,1,1,1,1,1,5,4,29,15,95,29,15732.01,19,25,13,10,7,0,3,9,18,5,2,4
96,Shuswap,xd1143,shus1248,Shuswap,Salishan,Shuswap,6,20,37,5,6,4,167,51.3,120,5,5,3,2,1,2,1,2,2,1,1,28,0,10,16,0.625,0.625,1,2,5,1,1,1,1,1,1,1,9,4,32,14,96,32,26220.02,21,23,11,9,5,0,3,8,21,5,5,4
97,Lillooet,xd1207,lill1248,Lillooet,Salishan,Upper Lillooet,7,22,40,4,6,4,165,50.3,122.5,5,5,3,2,10,2,1,4,2,2,2,28,0,11,15,0.733333333,0.733333333,1,2,5,1,1,1,1,1,1,1,9,4,32,14,97,32,15732.01,21,23,12,6,5,0,3,9,20,5,5,4
98,Nlaka'pamux,xd1142,thom1243,Thompson,Salishan,Upper Thompson,6,21,46,6,6,4,170,50.3,121.5,5,4,2,2,1,2,2,3,4,2,2,30,0,11,16,0.6875,0.6875,1,3,5,1,1,1,1,1,1,1,9,4,32,14,98,32,11367.56,19,24,13,9,7,0,3,9,21,5,5,4
99,Syilx,xd1001,sout2963,Southern Okanogan,Salishan,Southern Okanagon,6,22,45,3,8,5,172,48.8,119.5,4,4,2,2,1,3,2,3,2,2,2,26,0,9,14,0.642857143,0.642857143,1,3,5,1,1,1,1,1,1,1,9,4,32,14,99,32,9059.91,21,22,15,10,6,0,3,7,20,5,2,4
100,Sanpoil,xd1174,sanp1257,Sanpoil,Salishan,Sanpoli,6,20,45,2,6,4,151,48,118.7,4,4,2,3,1,3,2,3,2,2,2,26,0,9,14,0.642857143,0.642857143,1,4,5,1,1,1,1,1,1,1,9,4,32,14,100,32,10793.63,19,22,13,8,6,0,3,4,18,4,1,4
101,Sinkiuse-Columbia,xd1419,colu1250,Columbia,Salishan,Columbia,8,15,39,2,6,4,120,47,119.5,4,4,2,2,4,3,3,3,2,2,2,27,0,10,14,0.714285714,0.714285714,1,2,1,1,1,1,1,1,1,1,9,4,32,14,101,32,14551.09,19,23,11,6,5,0,3,3,17,4,1,4
102,Wenatchi,xd1148,wena1241,Wenatchi,Salishan,Wenatchi,9,17,39,2,6,4,141,47.5,120.3,4,4,3,3,1,3,2,3,2,2,2,26,0,9,14,0.642857143,0.642857143,1,2,5,1,1,1,1,1,1,1,9,4,32,14,102,32,12901.38,20,23,11,7,5,0,3,3,18,4,1,4
103,Coeur dâ€™Alene,xd1146,coeu1236,Coeur d'Alene,Salishan,Coeur d'Alene,6,19,39,7,5,3,150,47.7,117,4,4,3,3,2,3,2,2,1,1,1,24,0,5,16,0.3125,0.3125,1,3,5,1,1,1,1,1,1,1,9,4,32,14,103,32,25613.64,16,22,10,10,6,0,3,10,15,4,4,4
104,Kalispel,xd1145,kali1309,Kalispel,Salishan,Kalispel,6,16,38,6,6,3,135,48.2,116.2,4,4,3,3,2,3,2,2,1,1,1,22,0,3,16,0.1875,0.1875,1,4,1,1,1,1,1,1,1,1,9,4,32,14,104,32,29001.37,18,22,12,9,5,0,3,8,16,4,1,4
105,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,Flathead,5,19,39,11,6,4,151,47.5,114,3,4,4,2,1,2,2,2,1,1,1,24,0,3,18,0.166666667,0.166666667,1,4,1,1,1,1,1,1,1,1,9,4,32,14,105,32,57070.45,14,23,12,9,6,0,3,11,15,4,4,4
106,Kutenai,xd1205,kute1249,Kutenai,NA,Kutenai,6,20,39,12,7,4,150,49,116.4,4,4,4,2,10,2,2,2,2,2,2,25,0,6,16,0.375,0.375,1,2,6,1,1,1,1,1,5,5,9,4,32,15,106,32,136607.38,15,23,10,8,5,0,3,11,16,2,4,6
107,Nez Perce,xd1153,nezp1238,Nez Perce,Sahaptian,Nez Perce,7,19,43,5,5,3,149,46,117,4,4,3,3,1,2,2,3,2,2,2,30,0,10,17,0.588235294,0.588235294,1,4,5,1,1,1,1,1,1,1,2,2,9,15,107,9,81116.04,17,22,11,10,7,0,3,10,17,5,2,4
108,Umatilla,xd1151,umat1237,Umatilla,Sahaptian,Umatilla,8,18,41,5,6,3,151,46,119,4,4,1,2,10,4,2,2,2,6,9,28,0,10,15,0.666666667,0.666666667,1,3,5,1,2,2,1,1,1,1,2,2,9,15,108,9,2416.98,18,23,12,9,8,2,9,9,17,4,5,4
109,Klikitat,xd1435,klik1240,Klikitat,Sahaptian,Kliktat,8,22,42,5,5,3,152,45.8,121.5,5,4,1,4,1,4,2,3,4,4,4,28,0,11,14,0.785714286,0.785714286,1,2,6,1,1,1,1,1,1,1,2,2,9,15,109,9,4469.58,21,24,12,8,6,0,3,8,19,5,5,4
110,Wishram,xd1150,wasc1239,Wasco-Wishram,Chinookan,Wilshram,8,22,42,4,6,4,154,45.5,121.2,5,4,1,5,2,4,2,3,4,2,2,27,0,11,13,0.846153846,0.846153846,1,3,5,1,2,2,1,1,2,2,2,2,9,15,110,9,2904.7,19,24,12,7,5,2,9,8,21,3,1,6
111,Tenino,xd1141,teni1238,Tenino,Sahaptian,Tenino,7,21,38,4,6,3,145,45.4,121.5,5,4,1,2,1,4,2,2,4,4,4,29,0,10,16,0.625,0.625,1,3,5,1,1,1,1,1,1,1,2,2,9,15,111,9,2656.93,17,22,11,7,7,0,3,8,15,5,2,4
112,Klamath,xd1139,klam1254,Klamath-Modoc,NA,Klamath,8,18,41,5,4,3,153,42.5,122,5,3,4,2,1,3,2,2,2,2,2,25,0,7,15,0.466666667,0.466666667,1,2,5,1,1,1,1,1,1,1,2,2,11,15,112,11,11559.48,20,22,11,5,7,0,3,10,19,3,1,4
113,Modoc,xd1140,klam1254,Klamath-Modoc,NA,Modoc,9,19,42,7,4,2,169,42,121.7,5,3,4,2,1,3,2,2,2,2,2,23,0,7,13,0.538461538,0.538461538,1,2,6,1,1,1,1,1,2,2,2,2,11,15,113,24,7912.24,26,22,11,7,9,0,3,10,19,5,2,6
114,Wadadokado,xd1155,nort1551,North Northern Paiute,Uto-Aztecan,Wada-Dokado Northern Paiu,5,20,33,2,4,4,128,43.3,119,4,3,4,2,4,3,2,1,2,1,1,17,0,0,14,0,0,1,3,1,1,1,1,1,1,3,2,1,1,1,1,114,1,47080.28,18,19,6,5,4,0,0,5,16,5,4,6
115,Kidutokado,xd1157,nort1551,North Northern Paiute,Uto-Aztecan,Kidu-Dokado Northern Paiu,6,18,34,4,4,3,133,42,120,4,3,4,2,4,3,2,1,2,1,1,17,0,0,14,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,115,1,9561.33,20,19,6,6,7,0,0,6,18,5,4,4
