order,society_name_dplace,society_xd_id,language_glottocode,language_name,language_family,group,technology,Subsistence,Ec Org,Politics,ceremony,Spirits,total,Lat,Long,long,lat,altitude,precip,veg,jan temp,july temp,pop density,Fixity of settlement,size of com 7cat,size of community population,Overall Richness,Sea mammal Richness,Fish Richness,Land mammal Richness,acquatic to land ratio...32,acquatic to land ratio...33,form of marriage,incidence of polygamy,postnuptial household residence,forms of descent,forms of kinship,relationships within dem kinship units,relationships within stip kinship units,activities of stip kinship,Agricultrual production,ag recoded,Language,phyla,family...46,branch,id,family...49,Areakm,material_culture,div_of_labor,econ_dist,property,marriage,family,descent,war,lifecycle,shamans,illness,magic
159,Hopi,xd1268,hopi1249,Hopi,Uto-Aztecan,Hopi,8,15,44,10,7,3,166,36,110.5,3,2,4,2,12,4,3,4,7,6,7,13,0,0,12,0,0,1,1,6,3,3,2,2,3,7,7,1,1,1,1,159,1,12547.77,20,24,9,9,4,4,13,6,19,3,4,6
160,Zuni,xd1280,zuni1245,Zuni,NA,Zuni,7,17,46,10,7,5,156,35.2,108.9,2,2,5,2,12,4,3,3,7,5,5,15,0,0,14,0,0,1,1,6,3,3,2,2,3,7,7,2,2,14,15,160,14,2747.49,16,25,11,9,3,4,13,5,11,5,5,6
161,Acoma,xd1263,acom1246,Acoma,Keresan,Acoma,7,11,44,11,5,5,154,35,107.5,2,2,5,2,12,4,2,4,7,5,5,15,0,0,14,0,0,1,1,6,3,3,2,2,2,7,7,10,4,34,15,161,34,3907.75,17,25,10,10,4,3,12,5,15,5,5,6
162,Sia,xd1276,ziaa1251,Zia (United States),Keresan,Sia Keres,7,11,46,11,6,5,156,35.3,106.5,2,2,4,2,7,4,3,4,7,5,5,17,0,1,13,0.076923077,0.076923077,1,1,6,3,3,2,2,2,7,7,10,4,34,15,162,34,5745.54,18,25,12,10,5,4,13,5,13,5,5,6
163,Santa Ana,xd1262,sant1426,Santa Ana,Keresan,Santa Ana Keres,8,14,47,9,6,4,158,35.2,106.4,2,2,4,2,7,4,3,4,7,5,5,17,0,1,13,0.076923077,0.076923077,1,1,1,3,3,2,2,2,7,7,10,4,34,15,163,34,1178.25,17,25,12,10,4,4,13,5,13,5,5,6
164,Kewa,xd1278,sant1425,Santo Domingo,Keresan,Santa Domingo Keres,8,14,47,9,7,5,154,35.3,106.1,2,2,4,2,7,4,3,4,7,4,4,17,0,1,13,0.076923077,0.076923077,1,1,1,3,3,2,2,2,7,7,10,4,34,15,164,34,6257.08,18,25,12,11,4,4,13,5,13,5,5,6
165,Cochiti,xd1283,coch1273,Cochiti,Keresan,Cochiti,8,18,49,9,7,5,166,35.6,106,2,2,4,2,7,4,3,5,7,5,5,17,0,1,13,0.076923077,0.076923077,1,1,6,3,3,2,2,2,7,7,10,4,34,15,165,34,1246.01,19,29,12,10,4,4,13,5,13,5,5,6
166,Ohkay Owingeh,xd1429,sanj1276,San Juan (USA),Kiowa-Tanoan,San Juan Tewa,7,16,51,10,7,5,162,36.1,106.1,2,2,5,2,7,3,2,5,7,5,5,18,0,1,14,0.071428571,0.071428571,1,1,1,1,1,1,1,1,7,7,1,1,2,3,166,2,846.13,18,28,11,12,5,1,1,6,12,5,5,6
167,San Ildefonso,xd1261,sani1273,San Ildefonso,Kiowa-Tanoan,San Ildefonso Tewa,9,16,51,10,7,5,167,35.9,106.2,2,2,5,2,7,3,2,5,7,5,5,18,0,1,14,0.071428571,0.071428571,1,1,2,2,1,1,1,1,7,7,1,1,2,3,167,2,842.48,18,28,11,12,5,1,1,6,12,5,5,6
168,Santa Clara,xd1277,sant1421,Santa Clara,Kiowa-Tanoan,Santa Clara Tewa,7,16,51,10,7,5,163,36,106.3,2,2,5,2,7,3,2,5,7,5,5,18,0,1,14,0.071428571,0.071428571,1,1,2,1,1,1,1,1,7,7,1,1,2,3,168,2,1820.59,18,28,11,12,2,1,1,6,12,5,5,6
169,Namb̩ Pueblo,xd1430,namb1296,Nambe,Kiowa-Tanoan,Nambe Tewa,7,16,51,10,7,5,162,35.9,105.9,2,2,5,2,7,3,2,5,7,5,5,18,0,1,14,0.071428571,0.071428571,1,1,2,1,1,1,1,1,7,7,1,1,2,3,169,2,623.01,17,28,11,12,2,1,1,6,12,5,5,6
170,Taos,xd1282,taos1236,Taos,Kiowa-Tanoan,Taos,7,13,47,10,7,3,153,36.5,105.5,2,2,5,2,7,3,2,5,7,6,6,19,0,2,14,0.142857143,0.142857143,1,1,2,2,1,1,1,1,7,7,1,1,2,3,170,2,5279.82,17,26,10,10,4,1,1,6,17,5,5,6
171,Isleta,xd1260,sout2961,Southern Tiwa,Kiowa-Tanoan,Isleta,7,13,46,8,7,5,152,34.8,106.7,2,2,4,2,12,4,3,5,7,6,6,16,0,1,13,0.076923077,0.076923077,1,1,2,1,1,1,1,1,7,7,1,1,2,3,171,2,3409.21,18,25,10,10,4,1,1,5,13,5,4,7
172,Jemez,xd1284,jeme1245,Towa,Kiowa-Tanoan,Jemez,7,13,44,9,7,5,138,35.6139,106.7259,NA,NA,2,5,7,5,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,2,3,172,2,1202.77,17,25,10,11,5,4,13,5,13,5,5,6
